,Months,MaxTemp,AvgTemp,MinTemp,MinHumid,MaxPressure,MaxSpeed,AvgSpeed,MinSpeed,AvgDirn,Temp6,Temp12,Temp20,Press12,WinSpeed6,WinSpeed12,minTemp_next
1700,5,19.0,15.68,14.49,67.0,1018.0,6,3.04,1,82.29,16.21,14.49,15.16,1012.0,3,4,13.57
1701,5,16.07,14.81,13.57,72.0,1022.0,4,2.79,1,127.92,14.5,13.63,15.7,1022.0,4,3,14.84
1702,5,25.07,18.0,14.84,50.0,1020.0,4,2.17,0,123.67,15.07,15.77,24.06,1018.0,1,4,15.21
1703,6,26.71,20.88,15.21,26.0,1015.0,7,2.79,0,222.5,16.92,16.99,26.34,1015.0,0,2,12.78
1704,6,25.28,20.07,12.78,21.0,1016.0,9,3.04,1,297.46,17.27,14.69,24.61,1016.0,1,1,12.71
1705,6,23.92,17.99,12.71,25.0,1017.0,8,3.83,1,298.58,14.53,13.85,23.16,1017.0,1,5,11.46
1706,6,23.47,17.52,11.46,28.0,1017.0,3,1.88,1,222.46,14.53,14.77,18.3,1017.0,2,1,15.46
1707,6,21.54,18.08,15.46,72.0,1012.0,5,1.71,0,89.96,15.85,16.22,21.43,1008.0,3,1,13.92
1708,6,19.36,15.38,13.92,72.0,1011.0,6,3.58,2,82.96,15.56,13.92,15.23,1007.0,4,3,11.91
1709,6,20.3,15.18,11.91,42.0,1016.0,6,2.75,0,63.38,12.15,12.92,19.84,1015.0,5,2,11.38
1710,6,21.78,16.85,11.38,39.0,1017.0,4,1.92,0,144.54,13.28,13.83,20.39,1017.0,2,0,11.22
1711,6,28.3,18.81,11.22,26.0,1012.0,7,3.04,1,211.62,12.92,13.63,27.37,1008.0,1,1,16.28
1712,6,30.91,23.55,16.28,31.0,1017.0,6,2.46,1,258.42,19.31,18.55,30.37,1016.0,2,2,20.27
1713,6,33.74,26.97,20.27,27.0,1019.0,6,2.92,1,267.5,22.42,22.33,33.53,1019.0,2,2,21.23
1714,6,34.58,28.44,21.23,30.0,1018.0,5,2.33,1,277.67,24.35,23.12,33.99,1018.0,2,2,22.49
1715,6,35.57,29.42,22.49,30.0,1015.0,5,2.58,1,262.08,25.26,23.62,35.57,1015.0,2,1,22.71
1716,6,33.58,26.56,22.71,36.0,1017.0,7,3.17,1,113.42,26.27,22.72,28.7,1015.0,3,4,17.43
1717,6,25.31,21.54,17.43,38.0,1018.0,7,2.83,1,143.0,19.07,18.71,24.58,1017.0,1,1,17.07
1718,6,22.39,19.36,17.07,64.0,1017.0,6,3.42,1,98.25,17.54,19.15,20.69,1016.0,3,5,19.23
1719,6,23.77,20.91,19.23,78.0,1015.0,6,2.5,1,74.58,19.46,19.92,23.07,1014.0,1,2,22.08
1720,6,30.37,25.28,22.08,49.0,1014.0,6,2.71,1,178.04,22.08,23.46,30.37,1012.0,3,2,22.64
1721,6,31.99,27.45,22.64,46.0,1011.0,9,4.08,1,208.21,26.28,26.21,31.99,1011.0,5,5,22.23
1722,6,29.42,24.86,22.23,28.0,1013.0,9,4.54,2,250.67,22.41,23.07,29.35,1012.0,3,4,18.95
1723,6,30.0,24.61,18.95,32.0,1022.0,6,3.29,1,257.54,20.97,21.6,29.16,1014.0,1,2,17.75
1724,6,29.99,24.26,17.75,39.0,1017.0,4,2.33,1,195.29,19.97,19.99,29.15,1017.0,2,1,24.59
1725,6,29.37,26.94,24.59,42.0,1013.0,7,2.75,1,237.88,25.82,25.82,28.49,1010.0,1,2,22.92
1726,6,30.15,26.51,22.92,30.0,1009.0,8,4.17,1,282.0,25.47,22.92,30.15,1002.0,3,3,18.46
1727,6,29.16,24.66,18.46,32.0,1016.0,5,2.33,1,274.08,22.58,20.65,26.98,1016.0,2,1,16.35
1728,6,27.24,22.52,16.35,26.0,1018.0,6,3.04,1,279.67,19.82,17.57,26.57,1017.0,2,1,16.67
1729,6,25.41,21.1,16.67,33.0,1016.0,5,2.21,1,219.38,19.98,17.35,24.92,1016.0,3,1,14.6
1730,6,27.25,20.66,14.6,31.0,1021.0,6,2.71,1,270.42,16.45,16.89,26.37,1020.0,1,2,18.36
1731,6,28.75,23.62,18.36,33.0,1021.0,8,3.54,1,218.92,19.71,20.35,28.6,1021.0,3,5,22.91
1732,6,32.25,26.6,22.91,38.0,1017.0,8,4.54,2,221.42,23.45,23.21,31.91,1016.0,2,2,22.46
1733,7,29.39,26.21,22.46,62.0,1015.0,7,3.62,1,198.42,24.19,23.84,28.54,1015.0,2,3,22.69
1734,7,32.15,26.02,22.69,35.0,1026.0,5,2.67,1,263.5,22.85,23.82,31.84,1020.0,2,2,21.07
1735,7,31.46,26.73,21.07,35.0,1016.0,6,2.88,1,272.25,23.69,23.05,30.85,1016.0,3,1,20.77
1736,7,29.76,25.09,20.77,37.0,1019.0,3,1.67,1,168.08,22.34,21.55,29.76,1018.0,1,2,20.06
