,Actual,pred
0,27.0,29.29922726561303
1,27.6,27.937512490369134
2,27.0,28.15822062183462
3,26.4,27.610320143144182
4,25.2,27.140038465522228
5,25.5,25.967090818215745
6,26.6,25.766859766164433
7,24.5,26.069161442287676
8,24.4,25.182509321355678
9,24.6,24.812667452786762
10,18.0,24.7595777149841
11,25.6,25.370679246141144
12,26.0,25.436746529515087
13,25.4,25.810289531935926
14,25.0,25.534165825354393
15,24.6,25.216782495064056
16,24.5,24.920560098177134
17,24.8,24.750889095531615
18,23.8,24.75221706376453
19,23.5,24.121156745458766
20,23.4,23.81906895260477
21,21.8,23.624881357712184
22,24.8,22.62537478101993
23,25.5,23.962248234227875
24,24.8,24.532416255240022
25,24.5,24.505200734194307
26,23.5,24.312247780082878
27,22.5,24.05347559589168
28,21.8,23.284621795200298
29,21.5,22.55244361272935
30,21.5,22.053259169334876
31,21.6,21.791728861428275
32,20.8,21.607735621141313
33,21.2,21.093794421860494
34,20.0,21.17253442841802
35,19.5,20.495445331839516
36,22.2,20.4669231568308
37,21.4,21.300718307793904
38,22.0,21.2537370650025
39,21.8,21.613432878655946
40,23.4,21.756126987874808
41,23.2,22.62525926074761
42,22.8,22.71970554347265
43,21.8,22.67135438120048
44,21.5,22.16241748477474
45,21.2,21.98686742594062
46,20.0,21.613407937026533
47,19.8,20.670040950110252
48,18.8,20.21593633809335
49,19.8,19.38378465777841
50,19.5,19.727698630056008
51,19.8,19.493694672606214
52,20.0,19.673449924958053
53,19.0,19.756218967605918
54,19.5,19.338084871934747
55,19.5,19.354514517536817
56,20.0,19.49044293335545
57,21.5,19.721019690596503
58,21.4,20.67738963241415
59,21.4,20.748088627610247
60,20.5,21.011430921252195
61,20.0,20.602987861469252
62,17.5,18.04228509807788
63,17.0,17.77101389069299
64,16.5,17.392344480311404
65,17.1,17.02996570885132
66,17.0,16.993721048472782
67,17.5,16.859813285381893
68,18.5,17.13473517569646
69,18.6,17.763494862401746
70,19.4,18.09665060597076
71,19.4,18.69714462725581
72,19.6,19.03839335356423
73,20.2,19.314451381418333
74,20.2,19.73629726580455
75,20.3,19.847240072900927
76,19.6,20.008436022079632
77,19.0,19.828601258602216
78,20.5,19.328975086785476
79,20.5,20.174228689536502
80,13.5,20.11808941379552
81,18.5,16.377599890604568
82,18.2,18.232336154352883
83,18.5,18.08179453053871
84,19.0,18.269860416104528
85,17.7,17.99734739781312
86,18.2,18.079995251460183
87,16.8,18.097318401150552
88,24.8,22.041650451860445
89,21.0,23.300987678280936
90,23.2,21.807789435782528
91,24.0,22.93904006852055
92,24.2,23.59305127933119
93,23.4,23.793302990838438
94,20.0,23.15343704485583
95,19.2,21.44630026854657
96,22.6,20.507233511546925
97,24.5,22.07902708774667
98,23.4,23.26818896556593
99,23.3,22.63361059807769
100,22.8,22.73634324494863
101,22.6,23.053705767955435
102,22.6,23.02870436546991
103,23.2,22.73833629468468
