,Actual,pred
0,15.5,14.541283549827547
1,15.7,14.931061670465727
2,15.5,15.058295166285651
3,11.4,15.068315433448015
4,9.8,12.930154300603759
5,11.3,11.30751912346427
6,12.2,11.52442125164532
7,8.6,12.060708446805133
8,9.5,9.864983860525758
9,9.2,9.69048711229205
10,12.0,9.564800901037906
11,10.8,11.0691641824083
12,10.5,10.998295700274426
13,10.5,10.72193522460641
14,10.4,10.644357181568484
15,9.6,10.543666845764596
16,9.4,9.990822607332973
17,9.0,9.680051940647843
18,9.2,9.408339821857732
19,9.2,9.33085137379913
20,9.0,9.248515968229453
21,10.5,9.091272693490367
22,9.6,9.78094483738191
23,9.8,9.811399668783425
24,9.3,9.965991879581159
25,8.4,9.763827689455953
26,7.5,9.151852717152504
27,7.8,8.155059795762497
28,7.2,7.9647831707519625
29,7.3,7.495841213926625
30,6.8,7.342587204827652
31,6.8,7.06056544829783
32,7.0,7.023685720857187
33,6.8,7.044199322967486
34,7.0,6.9726672667803795
35,6.8,6.940555873925992
36,9.5,6.235524115805725
37,7.6,8.211846631206342
38,8.2,7.826536409828155
39,7.8,8.074126907460759
40,6.8,7.994536795899996
41,7.0,7.600895148446043
42,6.8,7.412105215748192
43,5.5,7.234283163319698
44,4.8,6.259515190736124
45,3.0,5.435101596281852
46,2.8,4.186977560588954
47,3.0,3.525337952076875
48,4.6,3.3379356472969954
49,5.4,4.039041330144519
50,5.6,4.782750881266061
51,5.8,5.223002094758937
52,5.0,5.6103844108749055
53,4.0,5.410666791067994
54,7.3,4.678806646582021
55,4.8,6.316971647719167
56,5.0,5.451278825267845
57,3.8,5.2501407662741775
58,3.3,4.71287840822414
59,3.0,4.2906133156103055
60,3.8,3.7455982641485916
61,3.8,3.8975939008541083
62,1.6,2.2131314683335255
63,0.0,1.9176781886172545
64,0.0,0.8324356258843693
65,0.0,0.429261390379308
66,0.6,0.43223942037125623
67,1.8,0.6912338166588842
68,2.4,1.438139651503681
69,3.4,2.1385929330632445
70,5.0,2.951445764811069
71,3.2,4.259147151461662
72,3.6,3.7288527217191922
73,4.0,3.792350632872781
74,4.0,4.154619911418141
75,6.0,4.244084045376567
76,3.6,5.289354990944068
77,6.7,4.318980046129982
78,4.6,5.6755257392047564
79,4.5,5.159392456899574
80,7.3,4.955469841049857
81,2.4,5.917403610953283
82,3.4,4.0105512504701855
83,3.6,3.656367356278
84,2.3,4.038018176330154
85,2.0,3.4630697149346608
86,4.5,2.4817952389875395
87,4.5,3.8265016032336163
88,8.5,5.042420021918553
89,6.8,7.312801803297004
90,5.0,6.930162626153411
91,6.0,5.728705062300852
92,3.0,6.043978585504959
93,3.0,4.761303069325341
94,7.0,4.021832272977822
95,8.4,5.597701996783385
96,6.5,6.895302972777276
97,5.0,6.434210039533176
98,8.0,5.929115817806367
99,10.0,7.677228367763914
100,6.7,9.150388530426124
101,7.0,7.442905412910561
102,7.0,7.1235176161519895
103,7.5,7.331300590368422
104,7.2,7.632324103016236
105,8.5,7.3803312029876995
106,8.2,8.065848183152584
107,8.5,8.240323792286887
108,8.0,8.488248136478452
109,10.5,8.424245168801646
110,12.5,9.787270659793014
111,9.6,9.721901816404001
112,8.2,9.657782713972194
113,9.8,8.794234516267638
114,9.5,9.43144865274275
115,9.5,9.53503024995669
116,10.0,9.581467187608162
117,9.0,9.805697195894096
118,10.5,9.354397127942992
